artist,text
Григорий Лепс,"старая жизнь по новому
мы помолчим мы просто помолчим
начну снача завтра новый день и я
ты женщина а с дамой что за спор
лети душа моя но если хочешь
на парашюте белом легче ветра
сто двадцать много сто тридцать мало
из об ков спускается тепло
слова мои всего лишь каплей в море
в апреле очень хочется влюбиться
туда сюда по
тому что безусловно может быть
москву приходит  заметно
о том о сем полмира за полночи
москва м  очень трудно спорить
вольются в этот вечный разговор
и в мае  возможно   любить
на п  ре прозрачном как стекло
зажечь по полной правильный почин
пусть кто то осторожно удивится"
Григорий Лепс,"но кошечка сполна м  отомстит за всех
и солнце вольное погасло для меня
медленно медленно прорастает слово  опасная  роковая
знаю был ли прав я обижая тех
это послед е слово словно прыжок с  боскреба в дождь
перед женщиной вдруг беззащитен я
и что нибудь решить  т права у меня
и хлест утратил свой простой волшебный смысл
унизиться боясь я женщин унижал
как она открыта как она сме
я разрубал узлы и   терял покой ой
и знал я что так надо и   переживал
роковая любовь  2раза
девять девятых валов
как она опасна как она  жна
жизнь я рисовал с ли йкою прямой
кошачья грация и хищная душа
но звери дикие м  в душу ворвались
быть или   быть скажет м  она
медленно медленно вырастает эта волна моя роковая
кто то сказал
мой ли это выбор скажет м  она
я понял что всю жизнь ходил я по воде эй
сково убьет быстрее чем иг
и я хочу погибнуть жизнь м    ми
роковая любовь
и что же де ть м  теперь что же де ть м  теперь"
Григорий Лепс,"ты опозда здесь  т меня
м  за это можно всё отдать
нарисуй весну потом сотри
ты   узнаешь как мог быть счастлив я
ночи без любви   нужны они
сметает лив м мои следы
нарисуй луну оставь её
нарисованы твои г за
в них одна слеза ждёт ещё теп
изменилось всё я ушёл давно
он мог бы повенчать нас только опозда ты
но должна ты знать поздно всё менять"
Григорий Лепс,"м  ж как птице в клетке
дальняя дорога
хотя и п вно
а в чистом поле да васильки
я та на гору впопыхах
или пьешь с похмелья
рай для нищих и шутов
а в конце дороги той
повремени повремени
я тогда по полю вдоль реки
да ничего   свято
и в церкви все   так
в сон м  желтые огни
утро мудре е
т того веселья
а в конце подавно
хоть бы склон увить плющом
вдоль дороги лес густой
но и утром всё   так
либо куришь да натощак
чтоб чего   вышло
и хриплю во с  я
хоть бы что нибудь еще
света тьма  т бога
все   так все   так как надо
вдоль дороги все   так
п ха с топорами
да еще много много много много много раз
где то кони пляшут в такт
все   так как надо
в кабаках зеленый штоф
и ни церковь да ни кабак
да м  б и то отрада
все   так ребята
дьяки дьяки курят дан
а под горою вишня
в церкви смрад и полумрак
белые салфетки
т ребята все   так
а на горе стоит ольха"
Григорий Лепс,"д и даже больше
она знает мужчин я это все чувствую кожей
сведет меня с ума
она умеет де ть м  любовь
душа моя к  бесам пришита ну что я нашел в  й
душа моя на замки закрыта от всех людей и на миллионы д й
и опять сведет сведет меня с ума
она просто никто но отчего так бьется сердце
она мой кокаин мой
и опять сведет сведет меня с ума 2раза
может выпить без остатка м  всю кровь
она ски т пальто выпьет вина чтобы согреться
может быть со мной холодной как зима"
Григорий Лепс,"вот и всё оба за чертой
в этот раз твой герой тебя   спасёт
дай м  хоть одну причину испугаться
вот сюжет ты люби так
помолчи а хочешь кричи
м  всё равно  т ничего впереди
страха  т ствол у виска
вернуть   простить  долюбить
объяснить отомстить и с этим жить
как же можно было так с моей любовью
но в кино   всегда везёт
повстречать поиграть и разорвать
и   смотри с болью в г зах
криминал это лучший путь"
Григорий Лепс,"тот марш  творение
ты покоряешь
мендельсона
и ты   скажешь что устал
висеть на трубке телефона
ей поздно затевать скандал
коварна и порой жестока
она красива но жестока
и прозвучит как трибунал
она читает ночью
пусть будет к вам судьба ми  много
и поздно отступать назад
она красива и умна
теперь одна у вас дорога
ты с детства слышал  вот наглец
она считает тебя
ты с  й хмелеешь без вина"
Григорий Лепс,"и тринадцать месяцев в году
за которой лишь ворота
во с  причем а на яву
я счастливый лет на 100
я счастливый
я счастливый как никто
я счастливый тем что я живу
а за ними просто
а пока все  бо только в звездах
я счастливый лет уж 100
что скажу за жизнь свою я просто
моё  бо си е в алмазах
у меня семь пятниц на  деле
где финал тот где та полоса
кто то знает я и сам   знаю
так счастливым и уйду cчастливый как никто cчастливым и уйду cчастливый как никто cчастливым и уйду
толь на счастье то ли на беду
так счастливым и уйду
я крещен а может быт помазан
в общем я счастливый вот и все
так счастливым и уйду  solo
что то м  по жизни при сет
кто поверит я и сам   верю"
Григорий Лепс,"первый срок  чаянная ходка пацана ментовка заме
забывай бывай меня молодка и живи как раньше ты жи
первый срок он шел за мной по следу мы же знали это все с тобой
я еще прие прие приеду и еще почти что молодой
первый срок и я приду   скоро у тебя появятся друзья
суетись когда на кичу заметут
верь   бойся   проси такая фишка   верь   бойся   проси такая фишка иначе схавают и рта   оботрут
все ж таки семе семе семера столько лет без шалости  льзя
иначе схавают и рта   оботрут
а воровской припев такой семь лет   вышка"
Григорий Лепс,"где ошибусь этажом
чаще дыхание выше давление
лечу в самое сердце
где ночи ярче чем дни
помнишь как было раньше
где   подарок а приз
улицы города словно артерии
лужи превратились в океаны
где  бо падает вниз
коварно и так просто без з т и фальши
золото – координата страха
а так хотелось любви и ски
смотри что в моём сердце
и будет и будет хорошо
ещё  много позже м  будет легче
смотри что будет после
и где нам было хорошо
бежать от веры и от правды
где диджей крутит винил
меняем местами чувства лечим раны
ещё  много дальше и будет поздно
где   остаться в тени
ещё  много в гору и будет легче
я утоплю наши идеалы
над головою звезды внутри торнадо
смотри что в твоём сердце"
Григорий Лепс,"в грязь соболя иди по ним по праву
дурная кровь в мои проник вены
москва слезам   верит и слезинкам
дурман фиалок наготу гвоздик
ведал я страданье только маска
итак я оставляю позади
и слезы вперемешку с талым с гом
я сжал письмо как голову змеи
да в этот раз я потерпел фиаско
но вот м  руки жжет ея письмо
сквозь пальцы просочился яд измены
и взять м   чего но  чего и дать
ведать м  страданий и агоний
и маскарад закончится сейчас
я узнаю мучительную правду
она бы чиста как с г зимой
и как всегда намерен побеждать
спешу навстречу новым поединкам
моих ко й обида   нагонит
надеюсь это был последний раз
под этим серым  приглядным  бом
м  встречный ветер слезы оботрет
подумал я дни сочтены мои
моих следов метель   заметет"
Григорий Лепс,"ну как же ты мог
решай теперь сама
как будто сразу после боя как раскалившись до красна
пока   будем ставить точки над i
что ж ты натвори
ты пош ходить другою параллелью одна
как все забыть слова; и всё что с нами было
остались нам вдвоём с тобою любви просроченой слова
навеет запах на постели что где то рядом бродишь ты
сольются в месяцы  дели; и если   вер шься ты
закончи сь весна и всё запорошило
разруши сама
и без тебя осиротели мои наивные мечты
потом банально хлопнув дверью   оглянувшись"
Григорий Лепс,"что споется м  сегодня что услышится
медный колокол медный колокол
сирин м  радостно скалится
то ль возрадовался то ли осерчал
травит душу чудной
голубою родниковою ржаною
словно семь богатых лун
господь замечал
душу сбитую утратами да тратами
как засмотрится м  нынче как задышится
воздух крут перед грозой крут да вязок
если до крови лоскут истончал
зазве ли в свой черед
россии кроют чистым золотом
грязью чавкая жирной да ржавою
надежду подает
перед солоно да горько кисло с дкою
на пути моем встает
душу стертую перекатами
пред великою да сказочной страною
а напротив тоскует печалится
я стою как перед вечною загадкою
птицы вещие поют да все из сказок
за таю золотыми я зап тами
веселит зазывает из г зд
в си м  бе колокольнями проколотом
словно семь заветных струн
но влекут меня сонной державою
что раскис опух от сна
вязнут лошади по стремена"
Григорий Лепс,"с г под ногами сде нный на заказ
я стану водопадом падением с высоты
мы теперь об этом знаем всё
в тебе больше  т хмеля и крепость твоя   та
я мог бы сдаваться но что мы получили в замен
холодные ночи одинокие вечера
я мог бы остаться и уже ни каких перемен
давай все закончим давай забывать номера
нам остава сь всего  деля и она
поцелуев осколки прошлое   сложить
что будет с нами узнаем через  сколько фраз
и все твои вина из винограда для меня уже слишком просты
соло саксофон
слова как иголки предложения как ножи
нам остава сь всего  деля и она уже прожита"
Григорий Лепс,"никогда ты   поймешь
как замерзаю
сводит с ума
дом мой укрой
в доме пустом
и опять   уснуть
саваном белым
ходит февраль
где то ты засыпаешь
сон   найти
и меня тишиной
так и   узнаешь ты
ночью и д м
где то но   со мной"
Григорий Лепс,"если надоело если надоело
уходи красиво и живи счастливо
но я же вижу что   я так
ты м  говоришь что совсем разбил я жизнь твою
как было трудно тебе сколько лет  рвы трепать м
дам совет лишь совет в нём  гатива поверь  т  т
всё этот так сложно начинать снова но я тебе подпою
так чего ты ждёшь
найдётся кто нибудь другой
но ты же ищешь виноватых
ты ждёшь чтоб я изменился
а я пока что под рукой
прямо здесь чтобы я чтобы я вдруг стал прекрасным принцем
у кого есть си запретить тебе
уходи красиво мой тебе совет
иди найди где такой
всё равно людей сменить легко но   изменить их"
Григорий Лепс,"триста тысяч п  т надо мною
как по русски уже   упомнить
английски стало быть love
что то г вное вышло из моды
каждый раз просыпаясь с рассветом
самый лучший день заходил вчера
ночью ехать лень пробыл до утра
триста тысяч часов за спиною
ну и дно будь
очень здорово всё таки жить
всё вгрызаемся в мир будто рыба пи
остаётся лишь тонкая нам нить
создатель их в  бе кружить
а мы сог сно законам природы
но приш пора и собрался в путь
спроста вспоминаешь об этом"
Григорий Лепс,"жить иначе просто   умеет
и беззвучно тихо п чет
то беспечно улыбнётся
там в  бесах без любви
но никто   обернётся
там высоко о о о
увидит эти слёзы солнца
а а а может быть такая доля
просто так в ответ любить   ста т
а а а там высоко о о о
по пустым проспектам  ба
там далеко о о о
за изнанкой ночи прячет
то о чём то загрустит
одиноко бродит солнце
одинокого свети
чтобы   тревожить нас
замерзает солнце
только мир собою занят
всех теплом своим согреет
смотря на всё что было
все свои печали солнце
пряча печали свои
всё равно любить весь мир"
Григорий Лепс,"пусть в парке листья жгут
жди меня  т больше слов
заставить сердце биться чаще счастья  т
холодно и безразлично так
душа и мысль единый вздох
заставить сердце биться чаще если  т
покажется что жизнь пустяк
серыми буднями   разбудить огня
будет больше снов
хочется смотреть как мы с тобой
если  т причин для счастья м
нас осень обня
убиваем свою любовь
простужен день он льёт дожди
и в каждой капле меня   жди
а мы сожжём мосты
закрыть г за и сде ть шаг"
Григорий Лепс,"и в  бо улетает птицей
в прошлое   возвратиться
разбитая любовь а может обратно
черно бе я печаль
разбитая любовь тонкие нити
но запомним как сейчас
тяжело дышать но уже   больно
разбитая любовь белые пятна
м  уже довольно фраз
разбитая любовь…
как в первый раз
знай ничего   изменить
мы хотели вновь соединить их
м  уже довольно но
наши души излечимы
как послед е прощай
парализована
все моя душа парализована
стучит в окно
нам уже   полюбить
знай время   остановить
ни к чему искать причины"
Григорий Лепс,"понимая что хочешь сама
и от судьбы обеспеченной
в сказку с плохим концом
тянут на грех минус и плюс
жная глупая грешная
больше добавить м   чего
но тебя надо бы знать
то хочу то   хочу
то что в любви как и в вой
ты разобьёшь много сердец
ты преднамеренно сводишь с ума
и вот тогда наступает ко ц
но в тебе паника чувств
что в тебе дразнит меня
рвёшься и рвёшься доверчиво
ты настоящая женщина
кажется что это игрой
и с ангельским лицом
ты отдаёшься до самого дна"
Григорий Лепс,"музыка в тебе сама меняет мир она   подведёт
но в твоей душе звучит так глубоко радостная музыка
ты просто жжёшь как волшебник из сказки
в мире твоём просыпается красота
чтобы люди могли и любить и мечтать
люди понимали слушая её страшное пройдёт
как бы что то   пугало всё равно двигайся вперёд
и пока живёшь ты слушая её музыка   врёт
но его спаса горстка чудаков и радостная музыка
музыка им помога дальше жить и двигаться вперёд
ты просто жжёшь разве это возможно
в сердце огонь ты вокруг освещаешь всё
жаль только что в нашем мире всё сложно
лучше никогда   думать о плохом это всё пройдёт
просто гори пока в сердце огонь
только ни на миг   предавай музыку в тебе
ты создаёшь этой музыки краски
в мире никогда нам   было легко это грустный факт"
Григорий Лепс,"просто реши нужен я или   нужен
я же просил
вертишь ее и   можешь понять что тебе де ть теперь
просто увяли
как долго дума ты 4 раза
я разбудил проливные дожди п кал растроганный воздух
месяц назад любовался тобой словно я сам тебя создал
как долго дума ты
цветы все увяли в моем сердце
этот вопрос удивительно прост на   по си м тебе
боже как долго долго
но ничего я   мог изменить в этих наивных г зах
кажеться я в твоих детских руках сложная слишком игрушка
месяц назад как русалку из волн сково сково звал"
Григорий Лепс,"петли дверные многим скрипят многим поют
на батарее  ту снарядов уже
кто вы такие
даже в дозоре можешь   встретить врага
вас здесь   ждут
каюсь каюсь каюсь
порвали парус
надо быстрее на вираже
все конти нты могут гореть в ог
многие лета тем кто поет во с
только все это   по м
а у дельфина взрезано брюхо винтом
это   горе если болит нога
все части света могут лежать на д
выстре в спину   ожидает никто"
Григорий Лепс,"всё равно я только с тобой
крыльями о стёк буду биться к тебе
где то в  бе кто поймать её рискнёт
ты уходишь и уходишь навсегда
я останусь но я с тобой
времени в разбитой чашке больше  т
позже всё пройдёт любовь моя плывёт
и   знали что отдать друг другу взамен
но любовь из раны просочится
может быть я научусь по новой жить
белый дым от сигарет и г за меняют цвет
правда в тиши  сердца стон
шаг за дверь сейчас сердца стон
прощали мы друг другу наших измен
трудно говорить и что то объяснить
тихо капает вода я боюсь услышать да"
Григорий Лепс,"кто был со мною
очередной зигзаг твоей души
ведомо м  ны
я заблудился выхода м   т
огнём твоей улыбки
но сам пленён огнём твоей улыбки
и я один я в каменной пусты
я в каменной пусты
в тебе брожу я словно в биринте
я так хотел тебя
умолк последний шаг
манит этот свет
куда ведёт меня
все меня покиньте
навеки взять в свой плен
среди высоких стен
на полпути к тебе
где каждый шаг к тебе подобен пытке
я так устал бродить
в глухую полночь"
Григорий Лепс,"м  чтоб были друзья да жена чтобы па на гроб
все вернулось на круг и распятый над кругом висел
лишь на корточки вдруг с о мевших колен пересел
кони просят овсу но и я закусил уди
и среди ничего возвышались литые ворота
я узнал старика по слезам на щеках его дряблых
и ударит душа на ворованных клячах в галоп
вдоль обрыва с кнутом по над пропастью пазуху яблок
родящий пустырь и сплошное ничто беспредел
убиенных щадят отпевают и балуют раем
и измученный люд   издал ни единого стона
скажу про живых а покойников мы бережем
да репьи из мочал еле выдрал и гриву заплел
всем нам б га подай да и много ли требовал я б г
и кряхтел и ворчал и   смог отворить и ушел
как бы так угадать чтоб   сам чтобы в спину ножом
святой он апостол а я остолоп
ну а я уж для них наберу бледно розовых яблок
я смирил его сковым словом
здесь малина братва нас встречают малиновым звоном
я когда то умру мы когда то всегда умираем
прискакали гляжу пред очами   райское что то
седов сый старик слишком долго возился с засовом
в грязь ударю лицом завалюсь покрасивее набок
но сады сторожат и убит я без промаха в лоб
и погнал я ко й прочь от мест этих гнилых и зяблых
в дивных райских садах наберу бледно розовых яблок
для тебя привезу ты меня и из рая жда
вот и кущи сады в коих прорва мороженных яблок
и огромный этап тысяч пять на коленях сидел
жаль сады сторожат и стреляют без промаха в лоб
как ржа т коренной"
Григорий Лепс,"ещё один раз здесь только я и ты
ты можешь сбросить весь  нужный груз
но время   ждет и горят мосты
пожалуй здесь останусь я попал в его плен
ты можешь поменять страну и конти нт
может быть навсегда
взято с сайта http //hm6 ru c
из под ног уш земля
чтоб географию свою сменить
начиная с нуля
поверь м  так трудно говоритьc «
поменять своё сознание направить весь поток э ргии на созидание
пришел момент всё в жизни поменять
последний звонок и горят мосты
жить будто бы границ  т c
получив реверанс
сам себе даю шанс
погрущу и опять
где бы   был на земле
нужно продолжать двигаться а   бежать
и новые вершины покорятьgm     a#
москвы никогда
да нафига этот
я научился летать оттолкнувшись от стен
появлюсь д й на пять
я парю над городом как супермен
чтоб только рядом с королевой жит
мимо крыш домов мимо кремлевских стен
правда жизни такая «
очистить дом от мусора включить jazz plus
меня уносит с собой ветер перемен
в голове сколько мыслей кому их рассказать
но проблема одна
я уеду туда где большая вода
я буду нако ц как лорды жить
мимо площади пролетая big ben
ты можешь сорвать куш и упустить момент f
и сколько   пришлось бы зап тить
покидая его душный плен
я уеду туда где большая водаf c
да кому я там нужен
я сейчас в эпицентре этой красоты
сочиняй мечты »
поверь м  так трудно говорить «
и новые вершины покорять
а по парку гуляют влюбленные пары
нафига этот
уходя после себя оставить след
я давно отпустил но я всё ещё люблю тебя dm
москву твою мать
я давно отпустил но я скучаю по тебе
от себя   убежишь в тридцать это надо знать
я уеду жить в
идут поездaf
в направлении том
видно пусть с балкона пишу мемуары
так счастливы здесь могли быть я и ты
пришел момент всё в жизни поменятьa#
ты и я здесь один лучше их записать a#
значит нужно остаться
идут поезда
москва будет сниться"
